,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,New Norfolk,40,AU,1567717259,93,-42.78,147.06,280.37,3.1
1,Rabo de Peixe,40,PT,1567717021,82,37.8,-25.58,294.82,3.6
2,Jacareacanga,0,BR,1567717021,62,-6.22,-57.76,305.15,1.0
3,Namibe,99,AO,1567717227,89,-15.19,12.15,291.155,4.07
4,Bluff,0,AU,1567717281,31,-23.58,149.07,290.755,1.72
5,Saint-Philippe,1,CA,1567717281,43,45.36,-73.48,295.15,4.1
6,Kaitangata,100,NZ,1567717022,80,-46.28,169.85,280.37,7.6
7,Fort Nelson,20,CA,1567716685,40,58.81,-122.69,293.15,4.1
8,Bambous Virieux,20,MU,1567717022,83,-20.34,57.76,294.15,0.5
9,San Felipe,100,CL,1567717022,97,-32.75,-70.73,287.04,0.99
10,Atuona,36,PF,1567717282,72,-9.8,-139.03,299.155,3.62
11,Tiruchchirappalli,40,IN,1567717023,62,10.82,78.68,302.15,5.1
12,Belmonte,0,PT,1567717023,30,40.36,-7.35,295.37,4.07
13,Bosaso,12,SO,1567717023,69,11.28,49.18,304.355,4.29
14,Nouadhibou,21,MR,1567716907,65,20.93,-17.03,299.15,3.1
15,Dryden,90,CA,1567717024,93,49.79,-92.84,287.15,1.53
16,Lagoa,0,PT,1567717282,88,37.14,-8.45,297.59,0.5
17,Itagiba,91,BR,1567717024,60,-29.52,-50.57,287.59,1.79
18,Oktyabrskiy,0,RU,1567717024,87,55.61,37.97,289.26,2.15
19,Kavaratti,98,IN,1567716997,82,10.57,72.64,300.955,8.75
20,Fairbanks,1,US,1567717202,67,64.84,-147.72,288.71,1.5
21,Pundaguitan,100,PH,1567717025,80,6.37,126.17,300.655,2.21
22,Ushuaia,20,AR,1567717283,90,-54.81,-68.31,279.15,8.7
23,Portree,100,GB,1567717025,94,57.41,-6.19,285.93,6.71
24,Kapaa,40,US,1567717283,62,22.08,-159.32,304.15,7.2
25,Port Elizabeth,20,US,1567717283,61,39.31,-74.98,299.26,4.1
26,Yellowknife,90,CA,1567716987,87,62.45,-114.38,283.15,3.1
27,Klaksvik,100,FO,1567717022,93,62.23,-6.59,282.15,3.1
28,Celestun,28,MX,1567717025,79,20.87,-90.4,301.655,7.16
29,Tucumcari,1,US,1567717026,19,35.17,-103.73,308.15,5.7
30,Mar del Plata,97,AR,1567716985,69,-46.43,-67.52,277.655,7.12
31,Chuy,75,UY,1567717284,72,-33.69,-53.46,282.255,4.19
32,Tuktoyaktuk,75,CA,1567717284,81,69.44,-133.03,282.15,2.6
33,Mawlaik,100,MM,1567717026,97,23.63,94.42,295.355,0.9
34,Ust-Nera,100,RU,1567717027,88,64.57,143.24,274.755,2.0
35,Borovichi,54,RU,1567717027,87,58.39,33.91,284.555,2.51
36,Nalut,15,LY,1567716690,66,31.86,10.98,295.655,7.6
37,Assiniboia,0,CA,1567717027,40,49.63,-105.99,297.255,6.61
38,Esperance,40,AU,1567717285,93,-33.86,121.89,276.15,3.1
39,Castro,40,CL,1567717286,57,-42.48,-73.76,282.15,1.5
40,Pudozh,100,RU,1567717028,79,61.81,36.54,285.055,3.26
41,Vostok,64,RU,1567717028,97,46.45,135.83,288.655,0.96
42,Mataura,98,NZ,1567717286,90,-46.19,168.86,280.93,4.47
43,Saint-Ambroise,75,CA,1567717028,62,48.56,-71.32,289.82,5.1
44,Qaanaaq,62,GL,1567717287,55,77.48,-69.36,273.255,2.79
45,Banamba,86,ML,1567717029,79,13.55,-7.45,297.055,7.12
46,Belaya Gora,81,RU,1567717029,64,68.54,146.19,277.955,2.93
47,Chiredzi,0,ZW,1567717029,30,-21.05,31.67,293.155,2.85
48,Nikolskoye,0,RU,1567717287,77,59.7,30.79,288.15,2.0
49,Punta Arenas,0,CL,1567717288,80,-53.16,-70.91,279.15,3.1
50,Souillac,0,FR,1567717288,48,45.6,-0.6,290.15,4.1
51,Forio,0,IT,1567717029,73,40.73,13.86,298.15,1.5
52,Georgetown,20,GY,1567717082,58,6.8,-58.16,306.15,5.1
53,Voi,97,KE,1567717030,81,-3.4,38.57,293.455,2.91
54,Albany,1,US,1567717096,52,42.65,-73.75,295.37,3.6
55,Kodiak,1,US,1567717289,70,39.95,-94.76,307.59,4.1
56,Cherskiy,84,RU,1567717030,69,68.75,161.3,279.155,2.82
57,Cabo San Lucas,75,MX,1567716758,58,22.89,-109.91,307.15,2.1
58,Baracoa,23,CU,1567717031,78,20.35,-74.5,301.855,3.89
59,Hobart,40,AU,1567717231,93,-42.88,147.33,280.37,3.1
